Celebrate_Thanksgiving,main_dish,turkey_cooked?,living_situation,Age,gender,Income,US Region
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Baked,Rural,18 - 29,Female,"$50,000 to $74,999",East South Central
Yes,Turkey,Roasted,Suburban,18 - 29,Male,"$0 to $9,999",Mountain
Yes,Turkey,Baked,Urban,30 - 44,Male,"$200,000 and up",Pacific
Yes,Tofurkey,Baked,Urban,30 - 44,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Roasted,Urban,18 - 29,Male,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Rural,18 - 29,Male,"$25,000 to $49,999",East North Central
Yes,Turkey,Baked,Rural,18 - 29,Male,Prefer not to answer,Mountain
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Other (please specify),Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",East South Central
No,,,,30 - 44,Male,"$25,000 to $49,999",Mountain
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Ham/Pork,Roasted,Suburban,18 - 29,Male,"$0 to $9,999",East North Central
Yes,Turkey,Baked,Urban,18 - 29,Male,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Roasted,Rural,60+,Male,"$50,000 to $74,999",West North Central
Yes,Turkey,Roasted,Suburban,30 - 44,Male,"$200,000 and up",Pacific
Yes,Turducken,Roasted,Suburban,30 - 44,Male,"$200,000 and up",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Male,"$75,000 to $99,999",East North Central
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",Mountain
Yes,Turkey,Roasted,Rural,30 - 44,Male,"$75,000 to $99,999",East North Central
Yes,Turkey,Baked,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
Yes,Turkey,Fried,Urban,18 - 29,Male,"$0 to $9,999",Pacific
No,,,,18 - 29,Male,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Baked,Urban,18 - 29,Male,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$50,000 to $74,999",West South Central
Yes,Turkey,Roasted,Rural,18 - 29,Male,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Male,"$100,000 to $124,999",East North Central
Yes,Other (please specify),Baked,Urban,30 - 44,Female,Prefer not to answer,Pacific
Yes,Turkey,Baked,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
Yes,Other (please specify),Other (please specify),Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
No,,,,30 - 44,Male,Prefer not to answer,West South Central
Yes,Turkey,Baked,Urban,18 - 29,Male,Prefer not to answer,Pacific
Yes,Tofurkey,Baked,Suburban,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
No,,,,30 - 44,Male,"$25,000 to $49,999",New England
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$50,000 to $74,999",East South Central
Yes,Turkey,I don't know,Suburban,18 - 29,Male,Prefer not to answer,New England
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$25,000 to $49,999",Pacific
Yes,Ham/Pork,Roasted,Rural,18 - 29,Male,"$200,000 and up",West South Central
Yes,Turkey,Baked,Urban,18 - 29,Male,"$200,000 and up",West North Central
No,,,,18 - 29,Male,"$0 to $9,999",West South Central
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Male,Prefer not to answer,Mountain
Yes,Turkey,Baked,Rural,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
No,,,,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$10,000 to $24,999",Pacific
Yes,Turkey,Baked,Rural,18 - 29,Male,"$25,000 to $49,999",West North Central
Yes,Turkey,Baked,Urban,18 - 29,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$75,000 to $99,999",South Atlantic
No,,,,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
Yes,Turkey,Fried,Rural,45 - 59,Male,"$75,000 to $99,999",West South Central
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$200,000 and up",Middle Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Male,"$10,000 to $24,999",East South Central
Yes,Turkey,Fried,Rural,18 - 29,Male,"$50,000 to $74,999",West North Central
