STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,AreaL,AreaW,PctWater,DPctWater
50,1,1461757,50001,Addison,Addison County,6,H1,G4020,,,,A,1984780357,107303299,44.0312479,-73.1415807,1984780357,107303299,0,0
25,7,606930,25007,Dukes,Dukes County,6,H1,G4020,,47240,,A,267309256,1004275270,41.3809696,-70.7014995,267309256,1004275270,1,1
23,25,581298,23025,Somerset,Somerset County,6,H1,G4020,,,,A,10164120486,437867472,45.5036458,-69.9561096,1016412048,437867472,0,0
33,17,873182,33017,Strafford,Strafford County,6,H1,G4020,148,14460,40484,A,951728786,39171752,43.2932725,-71.0355891,951728786,39171752,0,0
23,11,581291,23011,Kennebec,Kennebec County,6,H1,G4020,,12300,,A,2246806176,216724439,44.4170119,-69.7657639,2246806176,216724439,0,0
25,5,606929,25005,Bristol,Bristol County,6,H1,G4020,148,39300,,A,1432461196,357549440,41.7476243,-71.0889626,1432461196,357549440,0,0
9,7,212797,9007,Middlesex,Middlesex County,6,H4,G4020,278,25540,,N,956493768,180679144,41.4330028,-72.5227802,956493768,180679144,0,0
50,11,1461762,50011,Franklin,Franklin County,6,H1,G4020,,15540,,A,1641633748,150930318,44.8589643,-72.9094023,1641633748,150930318,0,0
44,3,1219778,44003,Kent,Kent County,6,H4,G4020,148,39300,,N,436556188,50710341,41.677331,-71.5787858,436556188,50710341,0,0
33,19,873183,33019,Sullivan,Sullivan County,6,H1,G4020,,17200,,A,1392157812,37865613,43.3611883,-72.2220839,1392157812,37865613,0,0
50,25,1461769,50025,Windham,Windham County,6,H1,G4020,,,,A,2034441181,32925693,42.9953348,-72.721955,2034441181,32925693,0,0
50,19,1461766,50019,Orleans,Orleans County,6,H1,G4020,,,,A,1796376281,71442197,44.8284417,-72.25163,1796376281,71442197,0,0
33,11,873179,33011,Hillsborough,Hillsborough County,6,H1,G4020,148,31700,,A,2269883907,41627731,42.9115317,-71.7230554,2269883907,41627731,0,0
25,23,606938,25023,Plymouth,Plymouth County,6,H1,G4020,148,14460,14454,A,1706344355,1125276862,41.9871959,-70.7419417,1706344355,1125276862,0,0
25,1,606927,25001,Barnstable,Barnstable County,6,H1,G4020,148,12700,,A,1020989901,2360346063,41.7990145,-70.2118803,1020989901,2360346063,1,1
50,15,1461764,50015,Lamoille,Lamoille County,6,H1,G4020,,,,A,1188473310,12658077,44.6037037,-72.6389224,1188473310,12658077,0,0
25,17,606935,25017,Middlesex,Middlesex County,6,H4,G4020,148,14460,15764,N,2117830644,75814940,42.4817114,-71.3949166,2117830644,75814940,0,0
33,9,873178,33009,Grafton,Grafton County,6,H1,G4020,,17200,,A,4425224129,106489725,43.9264394,-71.842422,4425224129,106489725,0,0
25,9,606931,25009,Essex,Essex County,6,H4,G4020,148,14460,15764,N,1275355437,870391710,42.642711,-70.8651073,1275355437,870391710,0,0
23,19,581295,23019,Penobscot,Penobscot County,6,H1,G4020,,12620,,A,8798662789,414019982,45.4092789,-68.6665979,8798662789,414019982,0,0
50,27,1461770,50027,Windsor,Windsor County,6,H1,G4020,,17200,,A,2511193707,19363219,43.5726846,-72.5988211,2511193707,19363219,0,0
33,5,873176,33005,Cheshire,Cheshire County,6,H1,G4020,,28300,,A,1830338973,57617298,42.9254553,-72.2482169,1830338973,57617298,0,0
23,5,581288,23005,Cumberland,Cumberland County,6,H1,G4020,438,38860,,A,2164393695,988818232,43.8083479,-70.3303753,2164393695,988818232,0,0
25,21,606937,25021,Norfolk,Norfolk County,6,H1,G4020,148,14460,14454,A,1025865057,124987270,42.1717511,-71.1811155,1025865057,124987270,0,0
23,9,581290,23009,Hancock,Hancock County,6,H1,G4020,,,,A,4110284976,1963056852,44.5649063,-68.3707034,4110284976,1963056852,0,0
33,3,873175,33003,Carroll,Carroll County,6,H1,G4020,,,,A,2413888299,159247403,43.8677742,-71.2015596,2413888299,159247403,0,0
25,19,606936,25019,Nantucket,Nantucket County,6,H4,G4020,,,,N,119431680,667032050,41.3058778,-70.1419099,119431680,667032050,1,1
23,1,581286,23001,Androscoggin,Androscoggin County,6,H1,G4020,438,30340,,A,1211961731,75575386,44.1676811,-70.2074347,1211961731,75575386,0,0
23,13,581292,23013,Knox,Knox County,6,H1,G4020,,,,A,945693972,2017106965,44.0420446,-69.0385145,945693972,2017106965,1,1
