Indicator,Geography,FIPS,Year,Cases,Rate100k,Population
HIV diagnoses,Alabama,1,2016,533,13.1,"4,083,356"
HIV diagnoses,Alaska,2,2016,37,6.1,"604,421"
HIV diagnoses,Arizona,4,2016,778,13.5,"5,760,749"
HIV diagnoses,Arkansas,5,2016,314,12.7,"2,482,039"
HIV diagnoses,California,6,2016,"4,961",15.2,"32,697,470"
HIV diagnoses,Colorado,8,2016,423,9.1,"4,632,099"
HIV diagnoses,Connecticut,9,2016,251,8.2,"3,056,982"
HIV diagnoses,Delaware,10,2016,117,14.5,"805,904"
HIV diagnoses,District of Columbia,11,2016,326,55.6,"586,013"
HIV diagnoses,Florida,12,2016,"4,940",28,"17,650,413"
HIV diagnoses,Georgia,13,2016,"2,709",31.8,"8,518,831"
HIV diagnoses,Hawaii,15,2016,82,6.8,"1,200,096"
HIV diagnoses,Idaho,16,2016,44,3.2,"1,369,371"
HIV diagnoses,Illinois,17,2016,"1,384",12.9,"10,722,860"
HIV diagnoses,Indiana,18,2016,483,8.8,"5,509,856"
HIV diagnoses,Iowa,19,2016,133,5.1,"2,608,112"
HIV diagnoses,Kansas,20,2016,141,5.9,"2,390,901"
HIV diagnoses,Kentucky,21,2016,319,8.6,"3,711,780"
HIV diagnoses,Louisiana,22,2016,"1,151",29.7,"3,875,721"
HIV diagnoses,Maine,23,2016,50,4.3,"1,153,216"
HIV diagnoses,Maryland,24,2016,"1,097",21.7,"5,047,681"
HIV diagnoses,Massachusetts,25,2016,710,12.1,"5,843,911"
HIV diagnoses,Michigan,26,2016,747,8.9,"8,388,946"
HIV diagnoses,Minnesota,27,2016,286,6.2,"4,588,917"
HIV diagnoses,Mississippi,28,2016,424,17.1,"2,472,880"
HIV diagnoses,Missouri,29,2016,511,10,"5,099,493"
HIV diagnoses,Montana,30,2016,17,1.9,"877,502"
HIV diagnoses,Nebraska,31,2016,76,4.9,"1,561,758"
HIV diagnoses,Nevada,32,2016,525,21.4,"2,450,340"
HIV diagnoses,New Hampshire,33,2016,42,3.6,"1,154,944"
HIV diagnoses,New Jersey,34,2016,"1,143",15.2,"7,540,169"
HIV diagnoses,New Mexico,35,2016,125,7.2,"1,729,098"
HIV diagnoses,New York,36,2016,"2,875",17.2,"16,752,227"
HIV diagnoses,North Carolina,37,2016,"1,404",16.5,"8,507,543"
HIV diagnoses,North Dakota,38,2016,46,7.4,"624,823"
HIV diagnoses,Ohio,39,2016,969,9.9,"9,761,939"
HIV diagnoses,Oklahoma,40,2016,293,9.1,"3,225,255"
HIV diagnoses,Oregon,41,2016,221,6.4,"3,469,013"
HIV diagnoses,Pennsylvania,42,2016,"1,150",10.6,"10,889,288"
HIV diagnoses,Rhode Island,44,2016,70,7.7,"910,074"
HIV diagnoses,South Carolina,45,2016,757,18.1,"4,172,976"
HIV diagnoses,South Dakota,46,2016,39,5.5,"707,995"
HIV diagnoses,Tennessee,47,2016,715,12.8,"5,576,076"
HIV diagnoses,Texas,48,2016,"4,464",19.8,"22,579,809"
HIV diagnoses,Utah,49,2016,135,5.7,"2,378,164"
HIV diagnoses,Vermont,50,2016,8,1.5,"541,898"
HIV diagnoses,Virginia,51,2016,893,12.6,"7,067,763"
HIV diagnoses,Washington,53,2016,432,7.1,"6,104,174"
HIV diagnoses,West Virginia,54,2016,66,4.2,"1,563,795"
HIV diagnoses,Wisconsin,55,2016,224,4.6,"4,863,705"
HIV diagnoses,Wyoming,56,2016,20,4.1,"483,532"
HIV diagnoses,American Samoa,60,2016,0,0,"42,861"
HIV diagnoses,Guam,66,2016,5,3.9,"127,716"
HIV diagnoses,N. Mariana Islands,69,2016,0,0,"41,133"
HIV diagnoses,Puerto Rico,72,2016,523,17.8,"2,938,814"
HIV diagnoses,U.S. Virgin Islands,78,2016,12,13.7,"87,670"
